kepoi_name,period_days,orbital_dist_AU,planet_radius_earth,planet_type,stellar_mass_solar,stellar_temp_K,luminosity_solar,hz_inner_AU,hz_outer_AU,in_habitable_zone,koi_kepmag
K05007.01,14.5169,0.1217,1.85,Super-Earth,1.141,5934.0,3.9528,1.8888,2.7238,False,13.698
K05236.01,550.8598,1.3527,1.98,Super-Earth,1.088,6241.0,1.4469,1.1427,1.6479,True,13.093
K05243.01,17.7454,0.1415,115.37,Super-Jupiter,1.2,6337.0,7.105,2.5322,3.6518,False,12.366
K05486.01,4.1547,0.0567,8.21,Gas Giant,1.405,7025.0,5.949,2.3171,3.3415,False,12.572
K05761.01,6.1329,0.0669,0.88,Rocky (Earth-like),1.06,6140.0,1.6835,1.2326,1.7776,False,13.421
K06390.01,5.1974,0.0578,83.32,Super-Jupiter,0.955,6248.0,3.1923,1.6974,2.4478,False,13.961
K06391.01,2.1835,0.0179,7.9,Gas Giant,0.161,3200.0,0.0032,0.0537,0.0775,False,11.296
K04235.01,66.6431,0.3482,3.15,Mini-Neptune,1.268,6609.0,3.4612,1.7674,2.5488,False,13.224
K04329.01,17.801,0.1351,0.71,Rocky (Earth-like),1.037,6338.0,1.4739,1.1533,1.6632,False,12.018
K04331.01,1.7179,0.0306,1.34,Super-Earth,1.299,6674.0,4.7701,2.0749,2.9922,False,13.228
K04528.01,8.3122,0.0755,125.97,Super-Jupiter,0.83,5375.0,2.2052,1.4107,2.0344,False,13.019
K04633.01,11.6934,0.1032,1.38,Super-Earth,1.072,5984.0,3.3915,1.7495,2.523,False,13.848
K04634.01,4.0275,0.0493,1.01,Rocky (Earth-like),0.987,6163.0,1.4054,1.1262,1.6241,False,13.685
K05023.01,73.3379,0.38,93.7,Super-Jupiter,1.361,7216.0,5.0443,2.1337,3.077,False,13.559
K05255.01,3.6607,0.0474,0.55,Rocky (Earth-like),1.058,6354.0,1.776,1.266,1.8258,False,13.164
K05493.01,6.9935,0.0766,53.71,Super-Jupiter,1.226,6573.0,3.492,1.7753,2.5601,False,12.594
K05774.01,1.2137,0.0245,105.53,Super-Jupiter,1.337,6782.0,5.8196,2.2918,3.305,False,10.811
K06311.01,7.0471,0.0882,121.64,Super-Jupiter,1.845,8162.0,21.45,4.3998,6.345,False,9.002
K06395.01,11.2578,0.1079,20004.7,Super-Jupiter,1.322,6915.0,7.2121,2.5513,3.6792,False,12.538
K06398.01,9.4022,0.1069,23.93,Super-Jupiter,1.845,4597.0,77.1243,8.3429,12.0314,False,10.59
K04431.01,19.5651,0.1505,1.13,Rocky (Earth-like),1.188,6350.0,2.8347,1.5995,2.3066,False,12.674
