kepid,kepoi_name,catalog_period,detected_period,period_match_pct,bls_power
6451368,K07780.01,5.3361,1.05,60.65,1284.20733
7917068,K05446.01,416.9504,8.4,95.97,17965.19355
9079671,K05609.01,535.1515,8.7,96.75,3062.07661
4914221,K05099.01,111.1871,4.9,91.19,3418.36384
12506986,K05973.01,419.9337,4.6,97.81,386.33415
8684730,K00319.01,46.1512,7.6,67.06,51.00201
12785320,K00298.02,57.384,9.8,65.84,36.98775
7515336,K04663.01,5.6569,0.55,80.55,16.33426
11959893,K05945.01,40.7282,3.1,84.78,520.68891
4255422,K03528.01,165.4058,5.3,93.59,12.92689
6366559,K05274.01,55.7584,0.7,97.49,34.50073
4572728,K08249.01,309.1918,8.1,94.76,14.63336
2852810,K06097.04,126.5057,5.5,91.3,336.48405
11305417,K05883.01,198.7812,3.7,96.28,89.7674
2301068,K06263.01,8.6097,0.7,83.74,45.12425
10351947,K08205.01,260.4462,4.0,96.93,529.69705
4739229,K06118.01,571.2809,1.0,99.65,466.9386
5179609,K05132.01,43.9312,1.6,92.72,41.49825
3663850,K08089.01,141.4003,4.6,93.49,768.68844
11350634,K08050.01,278.3893,8.8,93.68,84.98668
7837526,K05436.01,28.2972,0.9,93.64,9.89997
5444276,K07559.01,0.709,4.25,99.82,13419.62618
9886361,K02732.04,24.5607,16.1206,31.27,66.35794
11860294,K05938.01,545.2056,2.4,99.12,10.91958
10019399,K01796.01,11.8057,4.1,30.54,1950.2407
9491832,K04226.01,49.5647,17.0,31.4,43.75972
5857656,K05205.01,313.0514,1.7,98.91,15.04084
6048024,K01684.01,62.8158,9.1,71.03,893.35896
9521317,K07940.01,188.881,3.8,95.98,6751.88932
8264402,K04037.01,215.9599,7.6,92.96,101.14381
4912589,K06469.01,34.1883,4.1,76.02,10141.15814
7198587,K05369.01,651.358,3.3,98.99,138.83129
8094120,K04881.01,5.6795,1.75,38.38,17.46087
2309719,K01020.01,54.3563,5.7,79.03,46.83471
4639868,K01326.01,53.1009,1.0,96.23,8.62476
9899181,K02867.02,18.94,2.6213,72.32,8.00533
4255944,K06111.01,228.6541,4.7,95.89,441.71634
4164922,K03864.02,18.2574,6.0503,33.72,57416.14992
11656928,K06242.03,78.8668,7.7,80.47,149.56798
8719419,K03506.01,12.6253,1.6615,73.68,2251290.50888
6975129,K01628.03,37.8404,2.4,87.32,2971.6552
9044060,K05604.01,476.9198,2.5,98.95,27.05762
4813793,K07708.01,6.7024,1.0,70.16,15.70014
5809372,K06630.01,34.6506,1.6,90.76,25.07054
9489524,K02029.04,4.7885,3.15,31.57,4146.93445
8505215,K00099.01,579.931,32.5,88.79,53.17045
9533489,K03783.01,197.1455,0.5,99.49,2069.60316
7416646,K05389.01,365.7399,6.5,96.45,89.50103
9289704,K02222.01,34.1356,9.6,43.75,2829.35899
4758350,K06447.02,91.65,1.1,97.6,379.7434
7125794,K05358.01,126.5861,3.3,94.79,49.9586
7199060,K04152.01,64.1836,2.3,92.83,2257.92479
11651240,K05925.01,93.006,4.0,91.4,23.29192
10026544,K02312.01,176.3313,0.9,98.98,16.44771
6364582,K03456.02,486.127,13.9,94.28,82.20195
4071638,K05037.01,349.5881,26.4,84.9,125544.90567
9466042,K07175.01,9.2743,1.75,62.26,19.88952
11071200,K02696.02,44.5645,1.7,92.37,323.04063
5385304,K02370.01,78.7327,8.9,77.39,366.95856
4164511,K05046.01,40.9882,4.0,80.48,3654.95601
8628761,K04580.01,6.3042,1.15,63.52,12.08934
10850327,K05833.01,440.161,5.5,97.5,23.03375
3852872,K07673.01,80.7699,3.3,91.83,5515.19644
4915582,K05101.01,436.1881,2.4,98.9,11.77572
11615521,K05923.01,366.6846,4.1,97.76,145.78557
4366923,K05059.01,646.2882,1.5,99.54,56.8654
3229028,K06100.02,117.6846,5.7,90.31,172.54643
6594945,K05300.01,188.9658,0.6,99.36,16.37144
10290666,K00332.02,6.8668,5.45,20.63,22.81887
8074328,K02486.01,4.268,3.1,27.37,11.85567
4252671,K07687.01,23.2666,0.9653,91.7,15.36452
5859725,K05207.01,18.9822,0.5,94.73,16.97342
7625143,K05407.01,58.5029,18.0,38.46,630.15256
8625408,K07073.01,279.0127,4.9,96.49,23.77873
8423903,K07038.01,12.4945,0.55,91.2,25.39441
9391817,K05663.01,140.8847,1.0,98.58,10.83946
11519134,K03419.01,58.5851,5.7,80.54,12019.85916
7918652,K02984.01,11.4554,0.7,87.78,13.3706
12254688,K02384.01,62.6826,9.1,70.96,24.66398
11341266,K05886.01,284.8718,4.8,96.63,31.23646
8702537,K07905.01,7.4752,0.6,83.95,11.35637
10228942,K06219.01,21.0255,2.2661,78.44,18452.312
4484179,K05068.01,385.2921,1.2,99.38,15.8966
11614808,K05921.01,175.4528,8.3,90.54,10.63687
9111849,K02042.01,63.0736,0.9,97.15,1040.05784
7622486,K01447.01,40.2465,2.3,88.57,413994.02443
6067545,K05236.01,550.8598,7.8,97.17,31.14964
8105398,K05475.02,5.6833,1.5,47.21,11.84719
8773015,K04301.02,6.3192,1.75,44.61,1074.97591
8233326,K04834.01,3.741,1.2,35.85,32.87906
5687986,K07735.01,382.3031,8.5,95.55,25.01399
3324069,K06320.01,22.8026,13.908,21.99,39.82793
11453930,K05900.01,355.8473,6.6,96.29,55.40236
11825996,K07483.01,16.9163,0.5,94.09,11.08766
7695445,K06906.01,1.7434,1.35,22.56,33857.33792
12105086,K05954.01,73.909,8.2,77.81,1184.23261
7950158,K05451.01,529.3917,8.5,96.79,48.09532
11967788,K04021.01,7.2353,2.8,22.6,714.1314
3955444,K05027.01,62.3124,0.6,98.07,60.18137
9893468,K04575.01,201.325,4.1,95.93,17.33355
6146838,K06668.01,27.4672,0.9,93.45,7.90428
10199984,K05776.01,198.6004,0.5,99.5,66.64399
12300524,K05964.01,32.0335,7.1,55.67,60.3111
5898983,K03422.01,40.1455,6.4,68.12,17149.58292
8644365,K03384.01,10.5484,2.2,58.29,9.05378
4141593,K07685.01,64.7403,2.8,91.35,45.60609
5596440,K00648.01,10.4749,1.5,71.36,101.88049
7345248,K04864.01,5.6649,0.75,73.52,11.64465
10794974,K04235.01,66.6431,1.3,96.1,24.49413
8564976,K03890.01,152.8277,10.3,86.52,392.59346
12647757,K08241.01,490.6394,30.9,87.4,99.66583
4737848,K05079.01,56.0018,2.2,92.14,10.25516
5856571,K01839.02,80.4104,6.7,83.34,103122.01145
6527078,K04657.02,10.4315,2.25,56.86,14.38677
4058169,K05034.01,282.5363,2.1,98.51,18.4893
5090690,K00636.01,12.0117,1.9,68.36,407.91237
9466486,K05680.01,557.9288,2.2,99.21,31.83645
8890924,K04269.02,4.4408,0.6,72.98,23.41278
6792908,K04341.01,10.7783,1.25,76.81,196.21767
